iter	Passed	Remaining
187	961	4151
188	964	4138
189	967	4125
190	971	4116
191	976	4107
192	979	4096
193	983	4086
194	987	4076
195	991	4069
196	995	4056
197	998	4044
198	1003	4038
199	1007	4030
200	1011	4020
201	1015	4009
202	1018	4000
203	1023	3992
204	1026	3982
205	1030	3973
206	1034	3963
207	1039	3956
208	1043	3948
209	1046	3938
210	1050	3928
211	1054	3920
212	1058	3910
213	1062	3903
214	1066	3895
215	1071	3890
216	1075	3881
217	1079	3872
218	1083	3864
219	1087	3856
220	1091	3848
221	1095	3839
222	1099	3832
223	1104	3824
224	1107	3815
225	1110	3804
226	1114	3794
227	1118	3787
228	1122	3778
229	1125	3768
230	1128	3758
231	1133	3751
232	1137	3743
233	1140	3734
234	1144	3724
235	1148	3717
236	1152	3710
237	1156	3701
238	1159	3691
239	1163	3684
240	1167	3677
241	1171	3668
242	1174	3659
243	1177	3649
244	1182	3644
245	1186	3637
246	1190	3629
247	1194	3620
248	1200	3619
249	1204	3613
250	1208	3606
251	1213	3601
252	1217	3594
253	1220	3584
254	1223	3575
255	1227	3567
256	1232	3561
257	1235	3553
258	1238	3544
259	1243	3538
260	1247	3532
261	1252	3528
262	1257	3522
263	1261	3516
264	1265	3508
265	1268	3500
266	1272	3492
267	1275	3484
268	1279	3478
269	1283	3469
270	1286	3461
271	1290	3454
272	1295	3448
273	1298	3441
274	1302	3433
275	1305	3424
276	1309	3419
277	1313	3412
278	1317	3403
279	1320	3395
280	1324	3389
281	1328	3382
282	1332	3375
283	1336	3369
284	1340	3361
285	1344	3355
286	1347	3348
287	1351	3341
288	1355	3334
289	1359	3329
290	1364	3323
291	1368	3317
292	1372	3312
293	1376	3305
294	1380	3298
295	1384	3291
296	1388	3286
297	1392	3281
298	1396	3275
299	1400	3267
300	1404	3261
301	1409	3257
302	1413	3252
303	1417	3244
304	1421	3240
305	1425	3233
306	1429	3226
307	1432	3219
308	1437	3213
309	1441	3208
310	1444	3201
311	1448	3193
312	1453	3189
313	1457	3184
314	1461	3177
315	1465	3171
316	1469	3167
317	1474	3161
318	1477	3155
319	1481	3148
320	1486	3143
321	1489	3137
322	1493	3130
323	1496	3122
324	1501	3119
325	1506	3113
326	1509	3107
327	1513	3100
328	1518	3096
329	1521	3090
330	1525	3083
331	1528	3076
332	1533	3072
333	1537	3066
334	1541	3059
335	1545	3054
336	1549	3048
337	1552	3041
338	1557	3036
339	1562	3032
340	1566	3027
341	1571	3022
342	1576	3019
343	1580	3014
344	1584	3009
345	1588	3003
346	1593	2997
347	1597	2992
348	1600	2986
349	1604	2979
350	1608	2974
351	1612	2968
352	1616	2962
353	1619	2955
354	1623	2950
355	1628	2945
356	1632	2939
357	1636	2934
358	1640	2928
359	1644	2924
360	1648	2917
361	1652	2911
362	1656	2907
363	1660	2902
364	1665	2896
365	1668	2890
366	1673	2886
367	1677	2880
368	1680	2874
369	1684	2868
370	1688	2862
371	1692	2857
372	1696	2851
373	1699	2844
374	1703	2839
375	1707	2834
376	1711	2828
377	1715	2822
378	1718	2816
379	1723	2811
380	1727	2806
381	1731	2800
382	1734	2794
383	1738	2789
384	1742	2783
385	1745	2776
386	1749	2770
387	1754	2766
388	1758	2761
389	1761	2754
390	1764	2748
391	1768	2743
392	1772	2738
393	1776	2732
394	1779	2725
395	1783	2720
396	1788	2716
397	1791	2710
398	1795	2703
399	1798	2697
400	1803	2693
401	1807	2688
402	1810	2681
403	1814	2676
404	1818	2671
405	1822	2665
406	1825	2659
407	1828	2653
408	1833	2649
409	1837	2644
410	1840	2638
411	1844	2631
412	1848	2627
413	1852	2622
414	1855	2616
415	1859	2610
416	1863	2605
417	1867	2600
418	1871	2594
419	1874	2589
420	1878	2583
421	1882	2578
422	1886	2573
423	1890	2567
424	1893	2561
425	1898	2557
426	1901	2552
427	1905	2546
428	1908	2540
429	1912	2535
430	1917	2530
431	1920	2525
432	1923	2519
433	1928	2514
434	1932	2509
435	1936	2504
436	1939	2499
437	1943	2494
438	1947	2489
439	1951	2483
440	1955	2478
441	1959	2473
442	1964	2469
443	1967	2464
444	1971	2458
445	1974	2453
446	1979	2448
447	1983	2443
448	1986	2437
449	1989	2432
450	1994	2427
451	1998	2422
452	2002	2417
453	2005	2412
454	2010	2407
455	2013	2402
456	2017	2396
457	2020	2391
458	2024	2386
459	2029	2382
460	2032	2376
461	2035	2370
462	2039	2365
463	2043	2360
464	2047	2355
465	2051	2350
466	2054	2345
467	2058	2340
468	2062	2335
469	2066	2330
470	2069	2324
471	2074	2320
472	2078	2315
473	2081	2310
474	2085	2304
475	2090	2300
476	2094	2296
477	2097	2291
478	2101	2285
479	2105	2281
480	2109	2275
481	2112	2270
482	2115	2264
483	2120	2260
484	2124	2255
485	2127	2250
486	2131	2244
487	2135	2240
488	2140	2236
489	2143	2231
490	2146	2225
491	2150	2220
492	2154	2215
493	2158	2210
494	2161	2205
495	2165	2200
496	2170	2196
497	2174	2191
498	2177	2186
499	2181	2181
500	2186	2177
501	2189	2172
502	2194	2167
503	2198	2163
504	2202	2159
505	2206	2154
506	2210	2149
507	2214	2144
508	2218	2140
509	2222	2135
510	2226	2130
511	2229	2124
512	2234	2120
513	2237	2115
514	2241	2110
515	2244	2105
516	2248	2100
517	2252	2096
518	2256	2090
519	2259	2085
520	2263	2080
521	2267	2076
522	2271	2071
523	2274	2066
524	2278	2061
525	2282	2056
526	2286	2052
527	2290	2047
528	2294	2042
529	2298	2038
530	2302	2033
531	2305	2028
532	2309	2023
533	2313	2019
534	2318	2014
535	2321	2009
536	2324	2004
537	2329	2000
538	2333	1995
539	2336	1990
540	2339	1985
541	2344	1980
542	2348	1976
543	2352	1971
544	2355	1966
545	2359	1962
546	2364	1957
547	2368	1953
548	2371	1948
549	2375	1943
550	2380	1939
551	2383	1934
552	2387	1929
553	2391	1925
554	2396	1921
555	2399	1916
556	2403	1911
557	2407	1907
558	2412	1903
559	2416	1898
560	2419	1893
561	2423	1888
562	2427	1884
563	2431	1879
564	2434	1874
565	2438	1869
566	2442	1865
567	2446	1860
568	2450	1856
569	2454	1851
570	2458	1847
571	2462	1842
572	2466	1837
573	2469	1832
574	2474	1828
575	2479	1825
576	2484	1821
577	2488	1816
578	2493	1813
579	2497	1808
580	2501	1803
581	2506	1799
582	2510	1795
583	2513	1790
584	2517	1785
585	2522	1782
586	2527	1778
587	2531	1773
588	2534	1768
589	2541	1766
590	2545	1761
591	2549	1756
592	2554	1752
593	2558	1748
594	2561	1743
595	2565	1738
596	2570	1735
597	2574	1730
598	2577	1725
599	2581	1720
600	2585	1716
601	2590	1712
602	2593	1707
603	2596	1702
604	2601	1698
605	2605	1693
606	2608	1689
607	2612	1684
608	2616	1680
609	2620	1675
610	2624	1670
611	2627	1665
612	2631	1661
613	2635	1657
614	2639	1652
615	2643	1647
616	2646	1642
617	2650	1638
618	2654	1633
619	2658	1629
620	2661	1624
621	2666	1620
622	2669	1615
623	2673	1611
624	2676	1606
625	2681	1601
626	2685	1597
627	2689	1593
628	2694	1589
629	2698	1584
630	2702	1580
631	2706	1575
632	2709	1571
633	2714	1567
634	2718	1562
635	2722	1557
636	2725	1553
637	2729	1548
638	2734	1544
639	2738	1540
640	2742	1535
641	2746	1531
642	2750	1527
643	2754	1522
644	2757	1517
645	2763	1514
646	2767	1510
647	2771	1505
648	2776	1501
649	2780	1497
650	2784	1492
651	2787	1487
652	2791	1483
653	2796	1479
654	2799	1474
655	2803	1469
656	2806	1465
657	2811	1461
658	2814	1456
659	2817	1451
660	2821	1447
661	2826	1442
662	2829	1438
663	2832	1433
664	2836	1428
665	2840	1424
666	2844	1420
667	2848	1415
668	2852	1411
669	2855	1406
670	2859	1402
671	2863	1397
672	2866	1392
673	2871	1388
674	2875	1384
675	2878	1379
676	2882	1375
677	2885	1370
678	2890	1366
679	2894	1362
680	2898	1357
681	2901	1352
682	2905	1348
683	2909	1344
684	2912	1339
685	2916	1334
686	2920	1330
687	2924	1326
688	2927	1321
689	2931	1316
690	2934	1312
691	2938	1308
692	2942	1303
693	2945	1298
694	2949	1294
695	2953	1290
696	2957	1285
697	2960	1281
698	2964	1276
699	2968	1272
700	2973	1268
701	2976	1263
702	2980	1259
703	2984	1254
704	2988	1250
705	2992	1246
706	2995	1241
707	2999	1237
708	3004	1233
709	3007	1228
710	3011	1224
711	3015	1219
712	3019	1215
713	3023	1211
714	3026	1206
715	3030	1202
716	3035	1197
717	3038	1193
718	3042	1188
719	3045	1184
720	3050	1180
721	3053	1175
722	3057	1171
723	3060	1166
724	3065	1162
725	3069	1158
726	3072	1153
727	3075	1149
728	3079	1144
729	3084	1140
730	3087	1136
731	3090	1131
732	3094	1127
733	3098	1123
734	3102	1118
735	3105	1114
736	3109	1109
737	3113	1105
738	3117	1101
739	3120	1096
740	3124	1092
741	3129	1088
742	3133	1083
743	3137	1079
744	3140	1075
745	3145	1070
746	3149	1066
747	3152	1062
748	3155	1057
749	3160	1053
750	3164	1049
751	3168	1044
752	3172	1040
753	3176	1036
754	3180	1032
755	3184	1027
756	3187	1023
757	3190	1018
758	3194	1014
759	3198	1010
760	3202	1005
761	3205	1001
762	3210	997
763	3214	992
764	3217	988
765	3220	983
766	3224	979
767	3229	975
768	3233	971
769	3236	966
770	3241	962
771	3245	958
772	3248	953
773	3251	949
774	3254	944
775	3259	940
776	3263	936
777	3266	932
778	3270	927
779	3274	923
780	3278	919
781	3281	914
782	3285	910
783	3289	906
784	3293	902
785	3296	897
786	3300	893
787	3304	889
788	3308	884
789	3312	880
790	3315	875
791	3319	871
792	3323	867
793	3327	863
794	3331	858
795	3334	854
796	3339	850
797	3342	846
798	3346	841
799	3349	837
800	3354	833
801	3358	829
802	3361	824
803	3365	820
804	3369	816
805	3373	811
806	3376	807
807	3380	803
808	3384	799
809	3389	794
810	3393	790
811	3397	786
812	3403	782
813	3407	778
814	3411	774
815	3415	770
816	3422	766
817	3433	763
818	3450	762
819	3458	759
820	3535	770
821	3545	767
822	3606	775
823	3614	772
824	3620	768
825	3625	763
826	3631	759
827	3636	755
828	3640	751
829	3645	746
830	3650	742
831	3655	738
832	3660	733
833	3665	729
834	3668	724
835	3672	720
836	3676	715
837	3680	711
838	3684	707
839	3689	702
840	3693	698
841	3698	693
842	3701	689
843	3705	684
844	3710	680
845	3714	676
846	3718	671
847	3722	667
848	3726	662
849	3731	658
850	3734	653
851	3738	649
852	3741	644
853	3746	640
854	3749	635
855	3753	631
856	3757	626
857	3761	622
858	3765	618
859	3768	613
860	3772	609
861	3777	604
862	3781	600
863	3784	595
864	3788	591
865	3793	586
866	3796	582
867	3800	577
868	3804	573
869	3809	569
870	3813	564
871	3816	560
872	3821	555
873	3825	551
874	3829	547
875	3832	542
876	3836	538
877	3840	533
878	3844	529
879	3848	524
880	3852	520
881	3857	516
882	3861	511
883	3865	507
884	3869	502
885	3874	498
886	3877	494
887	3882	489
888	3886	485
889	3890	480
890	3894	476
891	3898	472
892	3902	467
893	3906	463
894	3909	458
895	3913	454
896	3917	449
897	3921	445
898	3925	440
899	3928	436
900	3932	432
901	3936	427
902	3940	423
903	3944	418
904	3948	414
905	3952	410
906	3956	405
907	3959	401
908	3963	396
909	3967	392
910	3971	388
911	3975	383
912	3978	379
913	3983	374
914	3987	370
915	3990	365
916	3994	361
917	3998	357
918	4002	352
919	4005	348
920	4009	343
921	4014	339
922	4018	335
923	4021	330
924	4025	326
925	4029	322
926	4033	317
927	4037	313
928	4041	308
929	4045	304
930	4049	300
931	4052	295
932	4056	291
933	4059	286
934	4064	282
935	4067	278
936	4071	273
937	4074	269
938	4079	265
939	4083	260
940	4087	256
941	4090	251
942	4095	247
943	4099	243
944	4102	238
945	4106	234
946	4110	230
947	4114	225
948	4118	221
949	4121	216
950	4126	212
951	4130	208
952	4133	203
953	4137	199
954	4142	195
955	4145	190
956	4149	186
957	4152	182
958	4157	177
959	4161	173
960	4164	169
961	4168	164
962	4172	160
963	4176	155
964	4180	151
965	4183	147
966	4188	142
967	4192	138
968	4196	134
969	4199	129
970	4202	125
971	4206	121
972	4210	116
973	4214	112
974	4217	108
975	4221	103
976	4225	99
977	4229	95
978	4232	90
979	4236	86
980	4239	82
981	4243	77
982	4246	73
983	4250	69
984	4254	64
985	4258	60
986	4261	56
987	4265	51
988	4269	47
989	4273	43
990	4276	38
991	4280	34
992	4283	30
993	4288	25
994	4292	21
995	4295	17
996	4299	12
997	4303	8
998	4307	4
999	4310	0
