iter	MultiClass
0	0.9748435938
1	0.8789006881
2	0.7975603825
3	0.7313641655
4	0.6707411185
5	0.6161444424
6	0.5739090655
7	0.530539312
8	0.4928624475
9	0.4619268022
10	0.4322882389
11	0.4056096524
12	0.3830362394
13	0.3612368529
14	0.3410026998
15	0.3222338152
16	0.3050872464
17	0.2896560304
18	0.2748257766
19	0.2618985844
20	0.2500200883
21	0.2385266733
22	0.2281944899
23	0.2183618477
24	0.2091916297
25	0.201222028
26	0.1937439176
27	0.1866423276
28	0.1799012283
29	0.1735241978
30	0.168095823
31	0.1630171473
32	0.1583867387
33	0.1538005324
34	0.1494836169
35	0.1449062413
36	0.1407154368
37	0.1372586953
38	0.1338609329
39	0.1304723441
40	0.1271311863
41	0.1243038456
42	0.1214534247
43	0.1185486832
44	0.1161279878
45	0.1141579181
46	0.1114150553
47	0.1095651026
48	0.107333824
49	0.1052381242
50	0.10335854
51	0.1014161921
52	0.09954311152
53	0.09761893477
54	0.09623932202
55	0.09451365541
56	0.09327386883
57	0.09214253724
58	0.09067635955
59	0.08929202956
60	0.08781608744
61	0.08632760966
62	0.08523288903
63	0.08407777923
64	0.08303625684
65	0.0818823506
66	0.08089428626
67	0.0799447942
68	0.07898544268
69	0.07817383897
70	0.07730597938
71	0.07606540841
72	0.07527196337
73	0.07470204376
74	0.07361085156
75	0.07261125029
76	0.07164338847
77	0.07115762149
78	0.07030811096
79	0.06928883547
80	0.06830599247
81	0.06767378313
82	0.0671263533
83	0.06655260005
84	0.06574239303
85	0.06497503623
86	0.06430763901
87	0.06386188098
88	0.06312160015
89	0.06244317315
90	0.06196667999
91	0.06121474146
92	0.06054609104
93	0.05969537955
94	0.05914085689
95	0.05842591446
96	0.05801457008
97	0.05741434306
98	0.0567990382
99	0.05633287167
100	0.05595733664
101	0.05547586119
102	0.05485988681
103	0.05447416302
104	0.05388007193
105	0.05355425977
106	0.05311543032
107	0.05238299896
108	0.05212463567
109	0.05178421056
110	0.05135472068
111	0.05097080445
112	0.05058593307
113	0.05022461644
114	0.04990501038
115	0.04956941931
116	0.04924590396
117	0.04878715569
118	0.04845137059
119	0.04804040002
120	0.04758188918
121	0.04731971286
122	0.047140629
123	0.04679491591
124	0.04643733551
125	0.04607633395
126	0.04576056514
127	0.04539714773
128	0.04505330639
129	0.04462669438
130	0.04435274391
131	0.04404376128
132	0.04363086972
133	0.04327659492
134	0.04301193598
135	0.04271835623
136	0.04247160928
137	0.04202605157
138	0.04165716914
139	0.04139011859
140	0.04110048603
141	0.04079713363
142	0.04047949106
143	0.04012718398
144	0.03996550564
145	0.03957716853
146	0.03931157747
147	0.03901244117
148	0.03869456714
149	0.03835860532
150	0.03809015493
151	0.03784196247
152	0.03757862332
153	0.03737216415
154	0.03707642419
155	0.03686310528
156	0.03654762835
157	0.03628168846
158	0.03605558468
159	0.03576133796
160	0.03556249871
161	0.03534233522
162	0.03511146874
163	0.03496352702
164	0.03487137575
165	0.03466047584
166	0.03440380664
167	0.034168296
168	0.03391540201
169	0.03377706311
170	0.0335590216
171	0.03335257173
172	0.03320284244
173	0.03301977879
174	0.03284265903
175	0.03270671036
176	0.03240698683
177	0.03219243828
178	0.03197807503
179	0.03183673927
180	0.03157993922
181	0.03139345686
182	0.03124651412
183	0.0311368529
184	0.03100845299
185	0.0308355519
186	0.03064465605
187	0.03044708668
188	0.03028467745
189	0.03002369871
190	0.02993878729
191	0.02971399029
192	0.02954694203
193	0.02940464188
194	0.02925966761
195	0.02906104461
196	0.02888809183
197	0.02874616229
198	0.02857438433
199	0.0284477229
200	0.02829257253
201	0.02815488535
202	0.02801149558
203	0.02791286597
204	0.02782753853
205	0.02762125301
206	0.02746569974
207	0.02732025711
208	0.02710540291
209	0.02698262826
210	0.02684616135
211	0.02675591622
212	0.02671123101
213	0.02656310999
214	0.02644821484
215	0.02628663999
216	0.02617116204
217	0.02604468713
218	0.0258986615
219	0.02578891635
220	0.02562378318
221	0.02548866052
222	0.02536939596
223	0.02527122974
224	0.02514785871
225	0.02506295302
226	0.02491879268
227	0.02479408472
228	0.0246021855
229	0.02447054223
230	0.0244076685
231	0.02426233158
232	0.02419162729
233	0.02406763705
234	0.02397804999
235	0.02386923746
236	0.02374471518
237	0.02362481931
238	0.02353252428
239	0.02339179758
240	0.02328084564
241	0.02317891076
242	0.02309299404
243	0.02301838587
244	0.02290458308
245	0.02278997546
246	0.02270888461
247	0.02260459932
248	0.02257784409
249	0.02248712471
250	0.0223525472
251	0.0222822771
252	0.02216677223
253	0.02209629679
254	0.02203002339
255	0.02191991972
256	0.02187253991
257	0.02180060086
258	0.02168807956
259	0.02160131471
260	0.02153134608
261	0.02145650546
262	0.02140765822
263	0.0213569024
264	0.02132774259
265	0.02116745676
266	0.02106704421
267	0.02098697561
268	0.02093809366
269	0.02088216989
270	0.0207706774
271	0.02068031624
272	0.02057457414
273	0.02047158163
274	0.02039668976
275	0.0203572501
276	0.02030720365
277	0.02018935718
278	0.02010924174
279	0.02005532277
280	0.01997117995
281	0.01992311864
282	0.01983431349
283	0.01975535564
284	0.01969883206
285	0.01966127979
286	0.01956478255
287	0.01949330543
288	0.01938171295
289	0.01931001296
290	0.01922055263
291	0.01917193397
292	0.01908305124
293	0.01900867079
294	0.01890450137
295	0.01881232792
296	0.01873327304
297	0.0186514422
298	0.01858614081
299	0.01854178968
300	0.01847839723
301	0.01841236421
302	0.01833756784
303	0.01826274638
304	0.01816709174
305	0.01810725469
306	0.0180630213
307	0.01799113961
308	0.01794282085
309	0.01790603429
310	0.0178789319
311	0.01782456497
312	0.0177453104
313	0.01769275457
314	0.01765989202
315	0.01760193965
316	0.01753701203
317	0.01747522217
318	0.01742151753
319	0.01735560403
320	0.01729386423
321	0.01722006165
322	0.0171340788
323	0.01706136651
324	0.01698665168
325	0.0169364672
326	0.01687845679
327	0.01682655814
328	0.01679382368
329	0.01672531901
330	0.01669756902
331	0.01664823637
332	0.01659916769
333	0.01657972755
334	0.01653880924
335	0.01649602331
336	0.01645988266
337	0.01643039679
338	0.01637879329
339	0.01630147532
340	0.01623817635
341	0.01617059665
342	0.01611380554
343	0.01607669174
344	0.01604124367
345	0.01594889187
346	0.01590872658
347	0.01583258143
348	0.01578084725
349	0.01575778023
350	0.01566956308
351	0.01560399677
352	0.01557510248
353	0.01551983073
354	0.01547623587
355	0.01540969934
356	0.01536197849
357	0.0153230037
358	0.01528922203
359	0.01523724944
360	0.01521010725
361	0.01513875129
362	0.01509697289
363	0.01504385521
364	0.01498402437
365	0.01495013209
366	0.01490976286
367	0.01482810534
368	0.01478279616
